Representative,Coin,Correlation,Type
BETH-USD,ETH-USD,0.9964020761449232,Positive
BETH-USD,STETH-USD,0.9958632723626027,Positive
BETH-USD,WETH-USD,0.991422263079493,Positive
BETH-USD,ETC-USD,0.8247166032254875,Positive
BETH-USD,FTN-USD,0.09075919089516517,Negative
BETH-USD,DAI-USD,0.11091896533958909,Negative
BETH-USD,LEO-USD,0.20892096645884162,Negative
BETH-USD,SUN-USD,0.303757050317264,Negative
BTC-USD,BETH-USD,0.8082020286423551,Positive
BTC-USD,ETH-USD,0.8069267528100164,Positive
BTC-USD,DOGE-USD,0.8061923505191527,Positive
BTC-USD,STETH-USD,0.8016836457362969,Positive
BTC-USD,FTN-USD,0.14428494017057633,Negative
BTC-USD,DAI-USD,0.20371714614218592,Negative
BTC-USD,SUN-USD,0.2637401356314304,Negative
BTC-USD,TRX-USD,0.297899340220273,Negative
ADA-USD,XRP-USD,0.7098116237443586,Positive
ADA-USD,LINK-USD,0.6951375990700775,Positive
ADA-USD,DOT-USD,0.6749406507143073,Positive
ADA-USD,SOL-USD,0.6734519127128613,Positive
ADA-USD,FTN-USD,0.05946461115722197,Negative
ADA-USD,DAI-USD,0.10517160796585466,Negative
ADA-USD,LEO-USD,0.13401149028063425,Negative
ADA-USD,TRX-USD,0.27152967462597,Negative
BCH-USD,ETC-USD,0.750801452694779,Positive
BCH-USD,BTC-USD,0.7207843908790256,Positive
BCH-USD,ETH-USD,0.7025139696268281,Positive
BCH-USD,BETH-USD,0.7018511124743585,Positive
BCH-USD,FTN-USD,0.09710326980328302,Negative
BCH-USD,LEO-USD,0.1996970584778544,Negative
BCH-USD,DAI-USD,0.2124575495350766,Negative
BCH-USD,TRX-USD,0.22092965015276086,Negative
