Symbol,PC1,PC2,Cluster
ADA-USD,-4.0927736075125765,-0.1470943134375699,2
ATOM-USD,-4.0867036437952,-0.1453412292047455,2
AVAX-USD,-4.05900563579527,-0.1385372006404137,2
BCH-USD,-3.5917436159766196,-0.0665192804616844,3
BETH-USD,-0.5309978768491866,0.885562491765126,0
BNB-USD,-3.2911048291810396,-0.0508843064121981,3
BTC-USD,102.66441548078792,-0.1172715773805501,1
DAI-USD,-4.092233248314369,-0.146838003931906,2
DOGE-USD,-4.093310511139741,-0.1470518575092482,2
DOT-USD,-4.086878920203101,-0.1453263491578921,2
ETC-USD,-4.066359981656208,-0.1407568565261236,2
ETH-USD,-0.5274998534203893,0.8873282756873643,0
FTN-USD,-4.089248241686517,-0.1473476851792217,2
GT-USD,-4.075083190564797,-0.1516279119489389,2
HBAR-USD,-4.093380346920218,-0.1470935017600012,2
ICP-USD,-4.083241498709813,-0.1437300931407436,2
KAS-USD,-4.093394155456198,-0.1469822655567004,2
LEO-USD,-4.083380292068335,-0.1472821664277079,2
LINK-USD,-4.0741919661473736,-0.1450854701824052,2
LTC-USD,-3.9814810865770225,-0.1415641762531739,2
NEAR-USD,-4.0880325002454265,-0.1448510737701072,2
ONDO-USD,-4.092319869017842,-0.1468750511934771,2
RUNE-USD,-4.089020067818727,-0.1446945635523921,2
SOL-USD,-3.875239988189493,-0.1083757288192161,2
STETH-USD,-0.5293487201769407,0.8880741556262334,0
SUN-USD,-4.0935413884403316,-0.1470542462327657,2
TRX-USD,-4.093299189345485,-0.1470719428432346,2
WETH-USD,-0.5267065461188065,0.8890789539725105,0
XLM-USD,-4.0932787247787745,-0.1471045785033517,2
XRP-USD,-4.0916159846822024,-0.1476824470254705,2
