,ADA-USD,ATOM-USD,AVAX-USD,BCH-USD,BETH-USD,BNB-USD,BTC-USD,DAI-USD,DOGE-USD,DOT-USD,ETC-USD,ETH-USD,FTN-USD,GT-USD,HBAR-USD,ICP-USD,KAS-USD,LEO-USD,LINK-USD,LTC-USD,NEAR-USD,ONDO-USD,RUNE-USD,SOL-USD,STETH-USD,SUN-USD,TRX-USD,WETH-USD,XLM-USD,XRP-USD
ADA-USD,1.0,0.6456575318221115,0.6315479993563399,0.5462674168602537,0.6726089618258897,0.5210711186104242,0.6573048447613903,0.10517160796585466,0.6688346056839432,0.6749406507143073,0.6692242331978647,0.6719736926666006,0.05946461115722197,0.5675730006480811,0.49886654003820713,0.6687894066831072,0.5611760899789805,0.13401149028063425,0.6951375990700775,0.5346349027697692,0.6311694023582383,0.6312449143169331,0.46968620030069036,0.6734519127128613,0.6709516629694711,0.2872369513343702,0.27152967462597,0.6661114791883002,0.5541971188995028,0.7098116237443586
ATOM-USD,0.6456575318221115,1.0,0.7071843136335481,0.6622693641507664,0.6968171447821222,0.6316362548852592,0.645358278410077,0.13045652308986713,0.7022844126206124,0.8546168806697234,0.7874479410944114,0.6962947693847792,0.055292072111382734,0.5844541660923245,0.5719336113573903,0.7476247820488792,0.600628276107627,0.17588664119331962,0.7152548489241957,0.6551693232140359,0.7611339402226592,0.6791716234666192,0.5653010146374633,0.6283773665771658,0.6945856559314838,0.30293643241672374,0.28809560621680663,0.6884206292324251,0.6066033784004763,0.5593655617477225
AVAX-USD,0.6315479993563399,0.7071843136335481,1.0,0.6506107071315473,0.7673707198719808,0.642577671501254,0.7347595287110411,0.11911997111514397,0.7250596725676594,0.7358117161490676,0.7688100308998406,0.7679508654558405,0.02524924612825827,0.5960626283485211,0.506980466662611,0.7224607016784448,0.6066966619913332,0.20498953401200024,0.7424801533833439,0.556380740474029,0.7726675481899531,0.7453642888594343,0.572560476638632,0.7408743604548934,0.7657842496692653,0.34938660317166453,0.23349380792608687,0.7573198991174912,0.4359796764119106,0.5266028751298912
BCH-USD,0.5462674168602537,0.6622693641507664,0.6506107071315473,1.0,0.7018511124743585,0.6248034344090868,0.7207843908790256,0.2124575495350766,0.6739865803996733,0.6664684273653972,0.750801452694779,0.7025139696268281,0.09710326980328302,0.5546334244209888,0.44090322066385645,0.6288048990295142,0.5241906001708214,0.1996970584778544,0.6480346087049044,0.599008865987414,0.6694447200600793,0.665652688025385,0.5531855013941513,0.6136588961483029,0.6991411775625216,0.28450406444440085,0.22092965015276086,0.6827631383561653,0.4071198993262983,0.4521305537151301
BETH-USD,0.6726089618258897,0.6968171447821222,0.7673707198719808,0.7018511124743585,1.0,0.6930408437862384,0.8082020286423551,0.11091896533958909,0.754401797471677,0.7164927237066092,0.8247166032254875,0.9964020761449232,0.09075919089516517,0.6433346751241319,0.48158076338148953,0.7136090403946472,0.6377525426131256,0.20892096645884162,0.7690971608416487,0.6403046097121429,0.7898927805878946,0.7175562844110548,0.6095468303011562,0.7564253592866853,0.9958632723626027,0.303757050317264,0.3313083641550403,0.991422263079493,0.4443387650936006,0.542012402933052
BNB-USD,0.5210711186104242,0.6316362548852592,0.642577671501254,0.6248034344090868,0.6930408437862384,1.0,0.6813132368659734,0.1544684252780645,0.6283957485762458,0.6375572254262839,0.6452003029108158,0.6922141390793655,0.03361231183601903,0.7312231294138323,0.43420621232277284,0.642390060093165,0.5794434342368999,0.19210680671728872,0.6053745878652799,0.5666890555535223,0.7039086618028235,0.6246331544380281,0.5668956162379926,0.6302196818435348,0.6896531122454986,0.3436596853750558,0.2774670055308207,0.6833313301143181,0.3920126577752296,0.412105231658194
BTC-USD,0.6573048447613903,0.645358278410077,0.7347595287110411,0.7207843908790256,0.8082020286423551,0.6813132368659734,1.0,0.20371714614218592,0.8061923505191527,0.6451759802637752,0.7075639736829729,0.8069267528100164,0.14428494017057633,0.6709110631488094,0.4800284345558803,0.6811277603043934,0.6053735779587427,0.32589416864454485,0.7032263615908146,0.5920629693910764,0.7514738170034121,0.7373576780856813,0.5963889968839394,0.7657264369088234,0.8016836457362969,0.2637401356314304,0.297899340220273,0.7954246101485036,0.41601609136914797,0.5435615561913888
DAI-USD,0.10517160796585466,0.13045652308986713,0.11911997111514397,0.2124575495350766,0.11091896533958909,0.1544684252780645,0.20371714614218592,1.0,0.13646439449765857,0.08994045835074299,0.09417550770925318,0.11349949015479183,0.0066877175348031455,0.15858400704565948,0.11725735217143265,0.12138346822140973,0.10032274699384147,0.03928212934334738,0.10639173319662014,0.11962896822822762,0.15596595692977744,0.15259651685686035,0.1409625866722503,0.15991399458045882,0.10861438262729256,0.01448929877701766,0.06982071957011471,0.10406242353445874,0.016669746245063503,0.1243818600488943
DOGE-USD,0.6688346056839432,0.7022844126206124,0.7250596725676594,0.6739865803996733,0.754401797471677,0.6283957485762458,0.8061923505191527,0.13646439449765857,1.0,0.7271623048466409,0.7192577107569588,0.7510981137330415,0.1638647300835293,0.5916952916780543,0.4770960683072554,0.6973483495530426,0.5962341533360949,0.2543245161153509,0.6765227196848569,0.6112317613124407,0.7575936186724734,0.6935290735815656,0.5835522473404021,0.7114475380305517,0.7495065558623244,0.3173071684168708,0.3240030883875859,0.741633989047445,0.4808432142702434,0.5622464808422591
DOT-USD,0.6749406507143073,0.8546168806697234,0.7358117161490676,0.6664684273653972,0.7164927237066092,0.6375572254262839,0.6451759802637752,0.08994045835074299,0.7271623048466409,1.0,0.8086874313297421,0.7173672529217274,0.047229240849225175,0.6086282590180248,0.5611775994085928,0.7539415528033123,0.5972375631432586,0.21135125782205139,0.7289245283705045,0.6442538837414331,0.7628754642243043,0.668887091071657,0.5479712084558166,0.6264859199087861,0.7148958496895528,0.32318899141699453,0.2784439559885075,0.7062331021209045,0.6945450670048865,0.5578508895328603
ETC-USD,0.6692242331978647,0.7874479410944114,0.7688100308998406,0.750801452694779,0.8247166032254875,0.6452003029108158,0.7075639736829729,0.09417550770925318,0.7192577107569588,0.8086874313297421,1.0,0.8273238479814157,0.07828082753165698,0.5971839739152532,0.5551049444872264,0.7404266436801045,0.6329336263296171,0.17805784677525277,0.761270165537899,0.673811542904964,0.7754527794107313,0.7313678417836142,0.5929445325879992,0.6898062442212289,0.8269925318986181,0.29694669165830195,0.2781337569768982,0.8166800799662236,0.5717665781619694,0.5960494650799528
ETH-USD,0.6719736926666006,0.6962947693847792,0.7679508654558405,0.7025139696268281,0.9964020761449232,0.6922141390793655,0.8069267528100164,0.11349949015479183,0.7510981137330415,0.7173672529217274,0.8273238479814157,1.0,0.0866575389248104,0.6421728567053724,0.48375775550506395,0.7158958831424356,0.6413386423968158,0.20615221154875282,0.7701405555572316,0.6393502905154715,0.7895622780411783,0.7119638492984931,0.6088022170621571,0.75221440269651,0.9989129008520182,0.3087906155485746,0.33453330506441586,0.9941975186459151,0.4395622075362688,0.5374125194566042
FTN-USD,0.05946461115722197,0.055292072111382734,0.02524924612825827,0.09710326980328302,0.09075919089516517,0.03361231183601903,0.14428494017057633,0.0066877175348031455,0.1638647300835293,0.047229240849225175,0.07828082753165698,0.0866575389248104,1.0,0.030080402180181726,-0.018514737572376483,0.039620783822990904,0.04191939871222061,0.06372028786036199,0.03821151267729707,0.0639001766811158,0.07012411821247423,0.050263440253360846,0.045664331261798106,0.09862851208852752,0.08398623024463407,-0.06757533979463763,0.032414571425041686,0.0809330194619461,0.035147416824412685,0.09700580196635304
GT-USD,0.5675730006480811,0.5844541660923245,0.5960626283485211,0.5546334244209888,0.6433346751241319,0.7312231294138323,0.6709110631488094,0.15858400704565948,0.5916952916780543,0.6086282590180248,0.5971839739152532,0.6421728567053724,0.030080402180181726,1.0,0.40155994852251436,0.5748995495844851,0.5734156686950244,0.18378739953172601,0.5800096902111727,0.56096396508703,0.6370604481449709,0.6050190309575977,0.4388354150251686,0.6212862878307309,0.64083506058092,0.30907568863780543,0.2002330400891771,0.6404572948377362,0.4339655490307896,0.4728653591266541
HBAR-USD,0.49886654003820713,0.5719336113573903,0.506980466662611,0.44090322066385645,0.48158076338148953,0.43420621232277284,0.4800284345558803,0.11725735217143265,0.4770960683072554,0.5611775994085928,0.5551049444872264,0.48375775550506395,-0.018514737572376483,0.40155994852251436,1.0,0.5858569095141404,0.47632693176775853,0.13530072786201056,0.6701596537788399,0.5899892718419871,0.6014648517858813,0.6227544125801941,0.4215882510329389,0.4495006256140904,0.4815635338061535,0.26955193054108684,0.23901083353127262,0.4733625427664066,0.5784582827854646,0.6205980230895568
ICP-USD,0.6687894066831072,0.7476247820488792,0.7224607016784448,0.6288048990295142,0.7136090403946472,0.642390060093165,0.6811277603043934,0.12138346822140973,0.6973483495530426,0.7539415528033123,0.7404266436801045,0.7158958831424356,0.039620783822990904,0.5748995495844851,0.5858569095141404,1.0,0.5935535462476775,0.184992367041984,0.7539347163636704,0.6108873170507984,0.7764147324950401,0.7188294763942212,0.581329824783144,0.6611687868748154,0.7116456217395766,0.35409350016878177,0.29704654549987514,0.7005306422391799,0.538808268075806,0.5744165890567831
KAS-USD,0.5611760899789805,0.600628276107627,0.6066966619913332,0.5241906001708214,0.6377525426131256,0.5794434342368999,0.6053735779587427,0.10032274699384147,0.5962341533360949,0.5972375631432586,0.6329336263296171,0.6413386423968158,0.04191939871222061,0.5734156686950244,0.47632693176775853,0.5935535462476775,1.0,0.09461899805756223,0.5653056220329197,0.5469828439995328,0.6505709500756712,0.5852045849754829,0.5099200719762075,0.5824330899946218,0.6399610580487595,0.26697463547767586,0.21510895683572068,0.6366339211606786,0.3885850469082893,0.49010904536397726
LEO-USD,0.13401149028063425,0.17588664119331962,0.20498953401200024,0.1996970584778544,0.20892096645884162,0.19210680671728872,0.32589416864454485,0.03928212934334738,0.2543245161153509,0.21135125782205139,0.17805784677525277,0.20615221154875282,0.06372028786036199,0.18378739953172601,0.13530072786201056,0.184992367041984,0.09461899805756223,1.0,0.17473102247980796,0.17370286984225405,0.19328191232577896,0.2312371111989573,0.15613926511002302,0.19318126560803983,0.20361730810505024,0.04175398510373338,0.18007788424725385,0.2023490797151541,0.13162106352267938,0.14976646436472832
LINK-USD,0.6951375990700775,0.7152548489241957,0.7424801533833439,0.6480346087049044,0.7690971608416487,0.6053745878652799,0.7032263615908146,0.10639173319662014,0.6765227196848569,0.7289245283705045,0.761270165537899,0.7701405555572316,0.03821151267729707,0.5800096902111727,0.6701596537788399,0.7539347163636704,0.5653056220329197,0.17473102247980796,1.0,0.6480375838452634,0.7810922522036132,0.7781828007138593,0.5778114376311105,0.695028994084566,0.7668240979489304,0.32288594617611066,0.2804251190764205,0.7644268169605194,0.4844177511944189,0.620369455932218
LTC-USD,0.5346349027697692,0.6551693232140359,0.556380740474029,0.599008865987414,0.6403046097121429,0.5666890555535223,0.5920629693910764,0.11962896822822762,0.6112317613124407,0.6442538837414331,0.673811542904964,0.6393502905154715,0.0639001766811158,0.56096396508703,0.5899892718419871,0.6108873170507984,0.5469828439995328,0.17370286984225405,0.6480375838452634,1.0,0.6670055037912126,0.5877685969147699,0.5590581686520599,0.5372793325302203,0.6357543919627986,0.28005314555878186,0.33006619567395784,0.6284758606980906,0.5241598977046998,0.598108041924929
NEAR-USD,0.6311694023582383,0.7611339402226592,0.7726675481899531,0.6694447200600793,0.7898927805878946,0.7039086618028235,0.7514738170034121,0.15596595692977744,0.7575936186724734,0.7628754642243043,0.7754527794107313,0.7895622780411783,0.07012411821247423,0.6370604481449709,0.6014648517858813,0.7764147324950401,0.6505709500756712,0.19328191232577896,0.7810922522036132,0.6670055037912126,1.0,0.7574517104423397,0.6344772266482187,0.7002022724339189,0.7859303447872164,0.3514361451951743,0.31646681709121194,0.7818590438101739,0.5193627877699093,0.5734237099334307
ONDO-USD,0.6312449143169331,0.6791716234666192,0.7453642888594343,0.665652688025385,0.7175562844110548,0.6246331544380281,0.7373576780856813,0.15259651685686035,0.6935290735815656,0.668887091071657,0.7313678417836142,0.7119638492984931,0.050263440253360846,0.6050190309575977,0.6227544125801941,0.7188294763942212,0.5852045849754829,0.2312371111989573,0.7781828007138593,0.5877685969147699,0.7574517104423397,1.0,0.5966805236785708,0.7040655948416318,0.7114226209959384,0.29007642805548406,0.23835233892068086,0.7070713777776599,0.48229536759806824,0.5526791567440508
RUNE-USD,0.46968620030069036,0.5653010146374633,0.572560476638632,0.5531855013941513,0.6095468303011562,0.5668956162379926,0.5963889968839394,0.1409625866722503,0.5835522473404021,0.5479712084558166,0.5929445325879992,0.6088022170621571,0.045664331261798106,0.4388354150251686,0.4215882510329389,0.581329824783144,0.5099200719762075,0.15613926511002302,0.5778114376311105,0.5590581686520599,0.6344772266482187,0.5966805236785708,1.0,0.5643084578686655,0.6041711440180512,0.2918038804068298,0.24802734494078152,0.5966833087243097,0.3246914409060401,0.37880469358515284
SOL-USD,0.6734519127128613,0.6283773665771658,0.7408743604548934,0.6136588961483029,0.7564253592866853,0.6302196818435348,0.7657264369088234,0.15991399458045882,0.7114475380305517,0.6264859199087861,0.6898062442212289,0.75221440269651,0.09862851208852752,0.6212862878307309,0.4495006256140904,0.6611687868748154,0.5824330899946218,0.19318126560803983,0.695028994084566,0.5372793325302203,0.7002022724339189,0.7040655948416318,0.5643084578686655,1.0,0.7497592199805023,0.2528178636324334,0.21191583417531668,0.7487203779666423,0.39768956359079405,0.5507272627003477
STETH-USD,0.6709516629694711,0.6945856559314838,0.7657842496692653,0.6991411775625216,0.9958632723626027,0.6896531122454986,0.8016836457362969,0.10861438262729256,0.7495065558623244,0.7148958496895528,0.8269925318986181,0.9989129008520182,0.08398623024463407,0.64083506058092,0.4815635338061535,0.7116456217395766,0.6399610580487595,0.20361730810505024,0.7668240979489304,0.6357543919627986,0.7859303447872164,0.7114226209959384,0.6041711440180512,0.7497592199805023,1.0,0.313636083085145,0.33342552359656336,0.9954949298278785,0.44011762022671813,0.5360258059344635
SUN-USD,0.2872369513343702,0.30293643241672374,0.34938660317166453,0.28450406444440085,0.303757050317264,0.3436596853750558,0.2637401356314304,0.01448929877701766,0.3173071684168708,0.32318899141699453,0.29694669165830195,0.3087906155485746,-0.06757533979463763,0.30907568863780543,0.26955193054108684,0.35409350016878177,0.26697463547767586,0.04175398510373338,0.32288594617611066,0.28005314555878186,0.3514361451951743,0.29007642805548406,0.2918038804068298,0.2528178636324334,0.313636083085145,1.0,0.3929584135887136,0.3109618100544454,0.2669774966080047,0.24783036920707363
TRX-USD,0.27152967462597,0.28809560621680663,0.23349380792608687,0.22092965015276086,0.3313083641550403,0.2774670055308207,0.297899340220273,0.06982071957011471,0.3240030883875859,0.2784439559885075,0.2781337569768982,0.33453330506441586,0.032414571425041686,0.2002330400891771,0.23901083353127262,0.29704654549987514,0.21510895683572068,0.18007788424725385,0.2804251190764205,0.33006619567395784,0.31646681709121194,0.23835233892068086,0.24802734494078152,0.21191583417531668,0.33342552359656336,0.3929584135887136,1.0,0.3336073946260635,0.2848019431076334,0.2565316681436769
WETH-USD,0.6661114791883002,0.6884206292324251,0.7573198991174912,0.6827631383561653,0.991422263079493,0.6833313301143181,0.7954246101485036,0.10406242353445874,0.741633989047445,0.7062331021209045,0.8166800799662236,0.9941975186459151,0.0809330194619461,0.6404572948377362,0.4733625427664066,0.7005306422391799,0.6366339211606786,0.2023490797151541,0.7644268169605194,0.6284758606980906,0.7818590438101739,0.7070713777776599,0.5966833087243097,0.7487203779666423,0.9954949298278785,0.3109618100544454,0.3336073946260635,1.0,0.44021623780362634,0.5328915422312801
XLM-USD,0.5541971188995028,0.6066033784004763,0.4359796764119106,0.4071198993262983,0.4443387650936006,0.3920126577752296,0.41601609136914797,0.016669746245063503,0.4808432142702434,0.6945450670048865,0.5717665781619694,0.4395622075362688,0.035147416824412685,0.4339655490307896,0.5784582827854646,0.538808268075806,0.3885850469082893,0.13162106352267938,0.4844177511944189,0.5241598977046998,0.5193627877699093,0.48229536759806824,0.3246914409060401,0.39768956359079405,0.44011762022671813,0.2669774966080047,0.2848019431076334,0.44021623780362634,1.0,0.7017655665701238
XRP-USD,0.7098116237443586,0.5593655617477225,0.5266028751298912,0.4521305537151301,0.542012402933052,0.412105231658194,0.5435615561913888,0.1243818600488943,0.5622464808422591,0.5578508895328603,0.5960494650799528,0.5374125194566042,0.09700580196635304,0.4728653591266541,0.6205980230895568,0.5744165890567831,0.49010904536397726,0.14976646436472832,0.620369455932218,0.598108041924929,0.5734237099334307,0.5526791567440508,0.37880469358515284,0.5507272627003477,0.5360258059344635,0.24783036920707363,0.2565316681436769,0.5328915422312801,0.7017655665701238,1.0
